Suzanne Collins
J.K.Rowling
Harper Lee
Jane Austen
Stephenie Meyer
Markus Zusak
C.S.Lewis
George Orwell
J.R.R. Tolkien
Margaret Mitchell
John Green
Shel Silverstein
Emily Bronte
Douglas Adams
Dan Brown
Arthur Golden
Lewis Carroll
Oscar Wilde
Victor Hugo
Charlotte Bronte
Veronica Roth
William Shakespeare
William Golding
Paulo Coeiho
Fyodor Dostoyevsky
Stephen Chbosky
Orson Scott Card
Cassandra Clare
F.Scott Fitzgerald
Kathryn Stockett

